Season,Week,Team,Player,Position,PlayerID,GSISID,percentile,pass_att,pass_comp,pass_td,pass_int,pass_yards,pass_longest,rush_att,design_rushes,scrambles,kneels,rush_td,design_rush_td,scramble_td,rush_yards,design_rush_yards,scramble_rush_yards,kneel_rush_yards,rush_longest,targets,catches,rec_td,rec_yards,rec_longest,pass_rush_td,rec_rush_td,pass_rush_yards,rec_rush_yards,fumble,fantasy_pts,fantasy_pts_ppr,fantasy_pts_dk,fantasy_pts_fd
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.19,27.0,17.0,1.0,0.0,184.0,25.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,222.0,19.0,0.0,13.92,13.94,15.32,14.94
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.2,27.0,18.0,1.0,0.0,186.0,25.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,5.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.0,20.0,0.0,14.26,14.28,15.62,15.236
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.21,27.0,18.0,1.0,0.0,189.0,25.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,6.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,20.0,0.0,14.5,14.5158,15.9,15.5158
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.22,28.0,18.0,1.0,0.0,191.0,25.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,7.0,6.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,230.0,21.0,0.0,14.78,14.78,16.16,15.78
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.23,28.0,18.0,1.0,0.0,193.0,26.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,7.0,6.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,232.0,22.0,0.0,15.06,15.06,16.4,16.0
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.24,28.0,18.0,1.0,0.0,195.0,26.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,7.0,7.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,235.0,22.0,0.0,15.32,15.34,16.64,16.22
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.25,28.0,19.0,1.0,0.0,197.0,26.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,8.0,7.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,237.0,23.0,0.0,15.62,15.62,16.88,16.42
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.26,29.0,19.0,1.0,0.0,199.0,27.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,8.0,7.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,239.0,23.0,0.0,15.84,15.84,17.12,16.64
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.27,29.0,19.0,1.0,0.0,201.0,27.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,9.0,8.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,241.0,24.0,0.0,16.1,16.1146,17.3546,16.9
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.28,29.0,19.0,1.0,0.0,203.0,28.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,9.0,8.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,243.0,25.0,0.0,16.32,16.3344,17.6,17.14
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.29,29.0,19.0,1.0,0.0,205.0,28.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,9.0,8.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,245.0,25.0,0.0,16.5742,16.58,17.86,17.36
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.3,30.0,19.0,1.0,0.0,207.0,28.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,10.0,9.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,247.0,26.0,0.0,16.84,16.84,18.1,17.6
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.31,30.0,19.0,1.0,0.0,209.0,28.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,26.0,10.0,9.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,250.0,27.0,0.0,17.04,17.0738,18.3538,17.8338
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.32,30.0,20.0,1.0,0.0,211.0,29.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,27.0,11.0,9.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,251.0,27.0,0.0,17.32,17.32,18.54,18.1
