player,Year,measure,value,,,
Jaxon Smith-Njigba,2022,games,3,,,
,,ms_rush_yd,0,,,
,,ms_touches,0.03,,,
,,dom,0.02,,,
,,rec_yd_pta,0.43,,,
,,adj_ypp,0.42,,,
,2021,games,13,,,
,,ms_rush_yd,0,,,
,,ms_touches,0.12,,,
,,dom,0.26,,,
,,rec_yd_pta,3.26,,,
,,adj_ypp,3.54,,,
,2020,games,7,,,
,,ms_rush_yd,0,,,
,,ms_touches,0.02,,,
,,dom,0.04,,,
,,rec_yd_pta,0.25,,,
,,adj_ypp,0.2,,,
