Player,college,Years,ppg,,,
Ja’Marr Chase,Louisiana State,2018-19,18.6,,,
Justin Jefferson,Louisiana State,2017-19,17.1,,,
Jarvis Landry,Louisiana State,2011-13,11.8,,,
Stedman Bailey,West Virginia,2010-12,6.1,,,
Mike Walker,Central Florida,2003-06,4.7,,,
Nelson Agholor,Southern Californi,2012-14,4.4,,,
Taywan Taylor,Western Kentucky,2013-16,3.1,,,
Terrace Marshall Jr.,Louisiana State,2018-20,2.6,,,
Jalen Tolbert,South Alabama,2018-21,1.6,,,
A.J. Jenkins,Illinois,2008-11,0,,,
