Player,college,Years,ppg,,,
Steve Slaton,West Virginia,2005-07,17.2,,,
Maurice Drew,UCLA,2003-05,17.1,,,
Dalvin Cook,Florida State,2014-16,16.9,,,
Reggie Bush,Southern California,2003-05,16.5,,,
Christian McCaffrey,Stanford,2014-16,14.4,,,
Giovani Bernard,North Carolina,2011-12,14.1,,,
Knowshon Moreno,Georgia,2007-08,12.4,,,
LeSean McCoy,Pittsburgh,2007-08,10,,,
Mark Ingram,Alabama,2008-10,9.3,,,
Ito Smith,Southern Mississippi,2014-17,7.5,,,
