player,Year,measure,value,,,
Jahmyr Gibbs,2022,rush_avg,6.13,,,
,,rec_avg,10.09,,,
,,games,12,,,
,,rec_yd_pta,1.09,,,
,,adj_ypp,2.24,,,
,2021,rush_avg,5.22,,,
,,rec_avg,13.29,,,
,,games,12,,,
,,rec_yd_pta,1.37,,,
,,adj_ypp,2.14,,,
,2020,rush_avg,5.17,,,
,,rec_avg,12.62,,,
,,games,7,,,
,,rec_yd_pta,1.64,,,
,,adj_ypp,2.26,,,
